Fossil CH4 fraction as a proportion of total anthropogenic CH4 emissions,,,,
Original sources: ,RCP emissions database pik.potsdam.de/~mmalte/rcps,,,
,RCP database tntcat.iiasa.ac.at/RcpDb/,,,
Method: ,Linearly interpolate between decades. Years before 1850 and after 2100 are set equal to 1850 and 2100 respectively.,,,
Year,RCP3PD,RCP4.5,RCP6,RCP8.5
1912,0.25616198,0.25616198,0.25616198,0.25616198
1913,0.25449968,0.25449968,0.25449968,0.25449968
1914,0.25283738,0.25283738,0.25283738,0.25283738
1915,0.25117507,0.25117507,0.25117507,0.25117507
1916,0.24951277,0.24951277,0.24951277,0.24951277
1917,0.24785047,0.24785047,0.24785047,0.24785047
1918,0.24618817,0.24618817,0.24618817,0.24618817
1919,0.24452586,0.24452586,0.24452586,0.24452586
1920,0.24286356,0.24286356,0.24286356,0.24286356
1921,0.24287649,0.24287649,0.24287649,0.24287649
1922,0.24288942,0.24288942,0.24288942,0.24288942
1923,0.24290235,0.24290235,0.24290235,0.24290235
1924,0.24291528,0.24291528,0.24291528,0.24291528
1925,0.24292822,0.24292822,0.24292822,0.24292822
1926,0.24294115,0.24294115,0.24294115,0.24294115
1927,0.24295408,0.24295408,0.24295408,0.24295408
1928,0.24296701,0.24296701,0.24296701,0.24296701
1929,0.24297994,0.24297994,0.24297994,0.24297994
1930,0.24299287,0.24299287,0.24299287,0.24299287
1931,0.24471014,0.24471014,0.24471014,0.24471014
1932,0.2464274,0.2464274,0.2464274,0.2464274
1933,0.24814467,0.24814467,0.24814467,0.24814467
1934,0.24986193,0.24986193,0.24986193,0.24986193
1935,0.2515792,0.2515792,0.2515792,0.2515792
1936,0.25329646,0.25329646,0.25329646,0.25329646
1937,0.25501373,0.25501373,0.25501373,0.25501373
1938,0.25673099,0.25673099,0.25673099,0.25673099
1939,0.25844826,0.25844826,0.25844826,0.25844826
1940,0.26016552,0.26016552,0.26016552,0.26016552
1941,0.25855052,0.25855052,0.25855052,0.25855052
1942,0.25693552,0.25693552,0.25693552,0.25693552
1943,0.25532051,0.25532051,0.25532051,0.25532051
1944,0.25370551,0.25370551,0.25370551,0.25370551
