name,type,input_mode,greenhouse_gas,aerosol_chemistry_from_emissions,aerosol_chemistry_from_concentration,partition_fraction0,partition_fraction1,partition_fraction2,partition_fraction3,unperturbed_lifetime0,unperturbed_lifetime1,unperturbed_lifetime2,unperturbed_lifetime3,tropospheric_adjustment,forcing_efficacy,forcing_temperature_feedback,forcing_scale,molecular_weight,baseline_concentration,forcing_reference_concentration,forcing_reference_emissions,iirf_0,iirf_airborne,iirf_uptake,iirf_temperature,baseline_emissions,g1,g0,greenhouse_gas_radiative_efficiency,contrails_radiative_efficiency,erfari_radiative_efficiency,h2o_stratospheric_factor,lapsi_radiative_efficiency,land_use_cumulative_emissions_to_forcing,ozone_radiative_efficiency,cl_atoms,br_atoms,fractional_release,aci_scale,aci_shape,ch4_lifetime_chemical_sensitivity,lifetime_temperature_sensitivity
CO2 FFI,co2 ffi,emissions,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,0,nan
CO2 AFOLU,co2 afolu,emissions,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,-0.00028729,nan,nan,nan,nan,nan,0,0,nan
CO2,co2,calculated,1,0,0,0.2173,0.224,0.2824,0.2763,1000000000,394.4,36.54,4.304,0.05,1,0,1,44.009,278.3,277.15,0,29,0.000819,0.00846,4,0,11.41262243,0.010178288,0.0000133,0,0,0,0,nan,0,0,0,0,nan,0,0,nan
CH4,ch4,concentration,1,0,1,1,0,0,0,8.25,8.25,8.25,8.25,-0.14,1,0,1,16.043,729.2,731.41,0,8.249955097,0.00032,0,-0.3,0,8.249410814,0.36785517,0.000388644,0,-0.00000227,0.091914639,0,0,0.000175,0,0,0,nan,0,0.000254099,-0.0408
N2O,n2o,concentration,1,0,1,1,0,0,0,109,109,109,109,0.07,1,0,1,44.013,270.1,273.87,0,65.44969575,-0.0065,0,0,0,25.49528818,0.076755588,0.003195507,0,-0.0000364,0,0,0,0.00071,0,0,0,nan,0,-0.000722665,nan
Sulfur,sulfur,emissions,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,64.069,nan,nan,2.440048435,nan,nan,nan,nan,2.440048435,nan,nan,nan,0,-0.00286,0,0,0,0,nan,nan,nan,nan,0.0169,0,nan
Volcanic,volcanic,forcing,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan
Aerosol-radiation interactions,ari,calculated,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan
Aerosol-cloud interactions,aci,calculated,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.03057237,0,0,nan
