,gamma_autocorrelation,ocean_heat_capacity[0],ocean_heat_capacity[1],ocean_heat_capacity[2],ocean_heat_transfer[0],ocean_heat_transfer[1],ocean_heat_transfer[2],deep_ocean_efficacy,sigma_eta,sigma_xi,forcing_4co2,iirf_0[CO2],iirf_uptake[CO2],iirf_temperature[CO2],iirf_airborne[CO2],erfari_radiative_efficiency[Sulfur],aci_shape[Sulfur],aci_scale,forcing_scale[CH4],forcing_scale[N2O],forcing_scale[Volcanic],forcing_scale[CO2],baseline_concentration[CO2],seed
one,4.719983423,5.153047969,34.27336252,121.2337916,1.305106703,1.984386778,1.491136285,1.482092423,0.907685005,0.443819095,8.135466275,36.02857005,0.001126305,2.710755648,0.001612496,-0.000454645,0.000974365,-0.731092193,1.035063163,1.096974537,1.036014954,1.024538566,276.3197669,2148576
two,9.986463259,4.430104356,15.16295837,102.9800639,2.182254551,2.897118556,1.218839026,1.364733676,1.881045709,0.672784685,9.275586328,33.62414254,0.002467723,3.096672011,0.001758252,-0.001776201,0.014792441,-0.155491013,0.94374262,0.986064567,0.9513275,1.10670985,277.2129035,11497944
three,4.288158471,4.669345764,10.55748752,55.11879778,0.635460463,2.248606659,0.842586871,1.324650991,0.644332416,0.387915114,6.809814457,34.09158146,0.003103367,-0.717461997,0.004062785,-0.002638802,0.019329961,-1.496282573,0.988486613,1.073949941,1.276997977,0.928074528,278.8528557,54049698
